,mass flow (kg/s),mole flow (kmol/s),mole percent CO2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),volumetric flow (m**3/s)
g08,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.1004073196909105,897.9999999999999,2670.4371035979975
g09,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0983976234630535,880.4212761145732,2622.952536917291
g10,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0964275365694915,840.939988725009,2509.8314553477203
g11,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0945510285786113,821.116873383506,2454.869729319368
g12,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0927200013019973,787.0106783313901,2356.8460756816366
g13,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0831848281426262,752.6474409743762,2273.780347222693
g14,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0815037494144268,722.0918059320111,2184.861313357396
g15,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0815037494144268,586.1346173939501,1773.4903504557399
g16,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0813077628859296,579.3641717447457,1753.3224805405023
g17,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.046833919106194,577.5789496959985,1805.4815636859262
g18,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0466347102153908,569.7441688779898,1781.329429814073
g19,1113.1740048646964,39.35730047153509,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0464946419848495,559.1157295086686,1748.3331356713002
g20,556.5870024323482,19.678650235767545,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0464946419848495,559.1157295086686,874.1665678356501
g21,556.5870024323482,19.678650235767545,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0464946419848495,542.3018533449397,847.8783994970904
g22,556.5870024323482,19.678650235767545,4.0136936210805905,8.630816486855734,75.02842213527907,12.327067756784608,1.0464946419848495,559.1157295086686,874.1665678356501
